inchikey,chemical,company
Error,"[""(TeDB-DiPhOBz) and 2,2',3,3',4,4',5,5',6,6'-decabromodiphenyl ether""]","['State Administration of Foreign Experts Affairs [Unknown]', 'Canada Research Chairs [Unknown]', 'Environment Canada [Unknown]', 'Natural Sciences and Engineering Research Council of Canada [Unknown]', 'Chinese Academy of Sciences [Unknown]']"
Error,['(Ti1-xCex)4O7'],"['National Natural Science Foundation of China [Foundation]', 'Dongguan University of Technology [University]']"
Error,"['(U,Zr)O2+X']","['Natural Environment Research Council [Unknown]', 'Japan Science and Technology Agency [Unknown]', 'Japan Society for the Promotion of Science [Unknown]', 'Japan Society for the Promotion of Science [Unknown]', 'Japan Society for the Promotion of Science [Unknown]', 'Mitsubishi Foundation [Foundation]', 'ESPEC [Unknown]']"
Error,['(UO2)3(AsO4)2·12H2O'],"['National Institute of Environmental Health Sciences [University]', 'Basic Energy Sciences [Unknown]', 'National Science Foundation [Foundation]']"
Error,['(YMn2O5) + ozone'],"['Central University Basic Research Fund of China [University]', 'Science, Technology and Innovation Commission of Shenzhen Municipality [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'Key Laboratory of Civil Aviation Thermal Hazards Prevention and Emergency Response, Civil Aviation University of China [University]', 'National Engineering Lab for Mobile Source Emission Control Technology [Unknown]', 'Tianjin City [Unknown]', 'State Environmental Protection Key Laboratory of Odor Pollution Control, Tianjin Academy of Eco-environmental Sciences [Unknown]']"
Error,['(alkyl)phenols'],['Federaal Wetenschapsbeleid [Unknown]']
Error,['(alkylammonium siloxides) amine'],"['European Regional Development Fund [Unknown]', 'Fundação para a Ciência e a Tecnologia [Unknown]']"
Error,['(bi)carbonate'],"['MELiSSA foundation [Foundation]', 'U.S. Department of Agriculture [Government]', 'Department of Energy, office of science [Government]']"
Error,['(bi)sulfides'],"['Labex [Unknown]', 'China Scholarship Council [Unknown]', 'Agence Nationale pour la Gestion des Déchets Radioactifs [Unknown]']"
Error,['(chloro)benzoquinone imines'],"['National Science Foundation Graduate Research Fellowship Program [Foundation]', 'University at Buffalo [University]', 'American Water Works Association [Unknown]', 'Division of Chemical, Bioengineering, Environmental, and Transport Systems [Unknown]', 'National Science Foundation [Foundation]', 'TGO Technologies [Company]']"
Error,['(chloro)hydroxyanilines'],"['National Science Foundation Graduate Research Fellowship Program [Foundation]', 'University at Buffalo [University]', 'American Water Works Association [Unknown]', 'Division of Chemical, Bioengineering, Environmental, and Transport Systems [Unknown]', 'National Science Foundation [Foundation]', 'TGO Technologies [Company]']"
Error,['(chloro-)isocyanates'],"['Natural Science Foundation of Beijing Municipality [Foundation]', 'National Natural Science Foundation of China [Foundation]']"
Error,['(core)-TiO2'],"['China Postdoctoral Science Foundation [Foundation]', 'Japan Society for the Promotion of Science [Unknown]', 'Science and Technology Commission of Shanghai Municipality [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'Cooperative Research Program of Institute for Catalysis, Hokkaido University [University]']"
Error,['(fluoro)alkanes'],"['China Scholarship Council [Unknown]', 'University Consortium for Field-Focused Groundwater Research [University]']"
Error,['(glyco)peptides'],"['Research Grants Council, University Grants Committee [University]', 'Guizhou Medical University [University]', ""Ministry of Education of the People's Republic of China [Government]"", 'Natural Science Foundation of Chongqing Municipality [Foundation]', 'National Natural Science Foundation of China [Foundation]', 'Guangdong University of Technology [University]']"
Error,['(hydr)oxide'],"['Schweizerischer Nationalfonds zur FÃ¶rderung der Wissenschaftlichen Forschung [Unknown]', 'Austrian Science Fund [Unknown]', 'Austrian Science Fund [Unknown]', 'Universidad de Costa Rica [University]', 'Wisconsin Alumni Research Foundation [Foundation]', 'Division of Graduate Education [Unknown]', 'Wisconsin Department of Natural Resources [Government]', 'Natural Sciences and Engineering Research Council of Canada [Unknown]', 'University of Wisconsin-Madison [University]']"
